sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-02T00:00:00,,loss,-1.0,-1.0,0,0,8779.625,8802.75,short
IS,2020-01-03T00:00:00,,loss,-1.0,-1.0,0,0,8838.875,8779.5,long
IS,2020-01-07T00:00:00,,loss,-1.0,-1.0,0,0,8926.125,8856.75,long
IS,2020-01-08T00:00:00,,win,1.3461,1.3461,0,0,8876.625,8821.0,long
IS,2020-01-09T00:00:00,,loss,-1.0,-1.0,0,0,8967.25,8988.5,short
IS,2020-01-14T00:00:00,,loss,-1.0,-1.0,0,0,9034.0,9072.75,short
IS,2020-01-15T00:00:00,,loss,-1.0,-1.0,0,0,9084.5,9043.25,long
IS,2020-01-16T00:00:00,,win,1.2237,1.2237,0,0,9110.625,9081.25,long
IS,2020-01-21T00:00:00,,win,1.3444,1.3444,0,0,9171.5,9116.5,long
IS,2020-01-23T00:00:00,,loss,-1.0,-1.0,0,0,9176.0,9203.5,short
IS,2020-01-24T00:00:00,,loss,-1.0,-1.0,0,0,9301.25,9257.5,long
IS,2020-01-28T00:00:00,,win,1.1948,1.1948,0,0,9009.25,9035.5,short
IS,2020-01-29T00:00:00,,win,1.2713,1.2713,0,0,9152.75,9116.5,long
IS,2020-01-30T00:00:00,,win,1.3771,1.3771,0,0,9077.375,9006.75,long
IS,2020-01-31T00:00:00,,loss,-1.0,-1.0,0,0,9210.75,9185.75,long
IS,2020-02-04T00:00:00,,win,1.3858,1.3858,0,0,9258.5,9182.25,long
IS,2020-02-05T00:00:00,,win,1.3194,1.3194,0,0,9377.125,9330.25,long
IS,2020-02-06T00:00:00,,win,1.2476,1.2476,0,0,9419.75,9452.25,short
IS,2020-02-07T00:00:00,,win,1.2996,1.2996,0,0,9407.875,9449.75,short
IS,2020-02-11T00:00:00,,loss,-1.0,-1.0,0,0,9537.25,9566.0,short
IS,2020-02-12T00:00:00,,win,1.167,1.167,0,0,9576.75,9553.0,long
IS,2020-02-13T00:00:00,,loss,-1.0,-1.0,0,0,9581.25,9562.5,long
IS,2020-02-14T00:00:00,,loss,-1.0,-1.0,0,0,9617.375,9644.25,short
IS,2020-02-18T00:00:00,,win,1.3717,1.3717,0,0,9605.0,9537.5,long
IS,2020-02-19T00:00:00,,win,1.3194,1.3194,0,0,9700.375,9653.5,long
IS,2020-02-20T00:00:00,,win,1.2519,1.2519,0,0,9707.375,9740.5,short
IS,2020-02-21T00:00:00,,win,1.3238,1.3238,0,0,9586.625,9538.5,long
IS,2020-02-25T00:00:00,,win,1.3771,1.3771,0,0,9146.875,9217.5,short
IS,2020-02-26T00:00:00,,win,1.3782,1.3782,0,0,8856.75,8928.0,short
IS,2020-02-27T00:00:00,,loss,-1.0,-1.0,0,0,8685.375,8813.5,short
IS,2020-02-28T00:00:00,,loss,-1.0,-1.0,0,0,8465.625,8266.25,long
IS,2020-03-03T00:00:00,,loss,-1.0,-1.0,0,0,8957.375,8779.25,long
IS,2020-03-04T00:00:00,,win,1.4075,1.4075,0,0,8778.0,8683.0,long
IS,2020-03-05T00:00:00,,win,1.3594,1.3594,0,0,8772.75,8834.0,short
IS,2020-03-06T00:00:00,,win,1.415,1.415,0,0,8489.25,8593.0,short
IS,2020-03-10T00:00:00,,win,1.4461,1.4461,0,0,8318.875,8153.25,long
IS,2020-03-11T00:00:00,,loss,-1.0,-1.0,0,0,8076.125,8195.5,short
IS,2020-03-12T00:00:00,,win,1.4409,1.4409,0,0,7568.375,7719.0,short
IS,2020-03-13T00:00:00,,loss,-1.0,-1.0,0,0,7304.5,7587.0,short
IS,2020-03-19T00:00:00,,win,1.4503,1.4503,0,0,7296.5,7116.5,long
IS,2020-03-20T00:00:00,,loss,-1.0,-1.0,0,0,7425.875,7629.0,short
IS,2020-03-24T00:00:00,,loss,-1.0,-1.0,0,0,7203.75,7323.75,short
IS,2020-03-25T00:00:00,,win,1.4348,1.4348,0,0,7732.0,7595.75,long
IS,2020-03-26T00:00:00,,loss,-1.0,-1.0,0,0,7247.25,7397.25,short
IS,2020-03-27T00:00:00,,win,1.4406,1.4406,0,0,7606.75,7756.75,short
IS,2020-03-31T00:00:00,,loss,-1.0,-1.0,0,0,7967.625,7884.5,long
IS,2020-04-01T00:00:00,,loss,-1.0,-1.0,0,0,7686.625,7582.25,long
IS,2020-04-02T00:00:00,,loss,-1.0,-1.0,0,0,7597.5,7545.0,long
IS,2020-04-03T00:00:00,,loss,-1.0,-1.0,0,0,7510.125,7577.0,short
IS,2020-04-07T00:00:00,,loss,-1.0,-1.0,0,0,8087.375,8176.75,short
IS,2020-04-08T00:00:00,,win,1.3956,1.3956,0,0,7982.75,8066.5,short
IS,2020-04-09T00:00:00,,loss,-1.0,-1.0,0,0,8299.25,8233.0,long
IS,2020-04-14T00:00:00,,loss,-1.0,-1.0,0,0,8401.625,8472.25,short
IS,2020-04-15T00:00:00,,win,1.3811,1.3811,0,0,8601.375,8674.5,short
IS,2020-04-16T00:00:00,,loss,-1.0,-1.0,0,0,8593.25,8689.5,short
IS,2020-04-17T00:00:00,,loss,-1.0,-1.0,0,0,8964.25,8893.0,long
IS,2020-04-21T00:00:00,,win,1.3538,1.3538,0,0,8650.0,8708.75,short
IS,2020-04-22T00:00:00,,loss,-1.0,-1.0,0,0,8545.5,8498.0,long
IS,2020-04-23T00:00:00,,win,1.31,1.31,0,0,8624.375,8668.75,short
IS,2020-04-24T00:00:00,,loss,-1.0,-1.0,0,0,8493.875,8583.25,short
IS,2020-04-28T00:00:00,,win,1.2939,1.2939,0,0,8858.625,8818.0,long
IS,2020-04-29T00:00:00,,loss,-1.0,-1.0,0,0,8753.875,8834.5,short
IS,2020-04-30T00:00:00,,win,1.3683,1.3683,0,0,9040.375,9106.0,short
IS,2020-05-01T00:00:00,,win,1.2748,1.2748,0,0,8735.875,8772.75,short
IS,2020-05-05T00:00:00,,win,1.3477,1.3477,0,0,8909.25,8853.0,long
IS,2020-05-06T00:00:00,,loss,-1.0,-1.0,0,0,8958.5,8997.25,short
IS,2020-05-07T00:00:00,,win,1.4069,1.4069,0,0,9119.875,9025.5,long
IS,2020-05-08T00:00:00,,win,1.1815,1.1815,0,0,9172.75,9197.75,short
IS,2020-05-12T00:00:00,,win,1.3956,1.3956,0,0,9328.5,9244.75,long
IS,2020-05-13T00:00:00,,loss,-1.0,-1.0,0,0,9050.625,9125.0,short
IS,2020-05-14T00:00:00,,loss,-1.0,-1.0,0,0,9065.0,8967.5,long
IS,2020-05-15T00:00:00,,loss,-1.0,-1.0,0,0,9181.0,9101.0,long
IS,2020-05-19T00:00:00,,win,1.3849,1.3849,0,0,9331.625,9407.25,short
IS,2020-05-20T00:00:00,,win,1.3978,1.3978,0,0,9411.125,9325.5,long
IS,2020-05-21T00:00:00,,loss,-1.0,-1.0,0,0,9469.375,9413.75,long
IS,2020-05-22T00:00:00,,loss,-1.0,-1.0,0,0,9201.0,9288.5,short
IS,2020-05-26T00:00:00,,loss,-1.0,-1.0,0,0,9561.0,9594.75,short
IS,2020-05-27T00:00:00,,loss,-1.0,-1.0,0,0,9530.0,9457.5,long
IS,2020-05-28T00:00:00,,loss,-1.0,-1.0,0,0,9448.625,9370.5,long
IS,2020-05-29T00:00:00,,loss,-1.0,-1.0,0,0,9477.0,9410.75,long
IS,2020-06-02T00:00:00,,win,1.2996,1.2996,0,0,9633.125,9591.25,long
IS,2020-06-03T00:00:00,,win,1.2385,1.2385,0,0,9693.75,9662.5,long
IS,2020-06-04T00:00:00,,win,1.2519,1.2519,0,0,9691.125,9658.0,long
IS,2020-06-05T00:00:00,,loss,-1.0,-1.0,0,0,9717.375,9670.5,long
IS,2020-06-09T00:00:00,,win,1.2713,1.2713,0,0,9856.75,9893.0,short
IS,2020-06-10T00:00:00,,loss,-1.0,-1.0,0,0,10033.25,9985.75,long
IS,2020-06-11T00:00:00,,win,1.4373,1.4373,0,0,9860.375,10002.25,short
IS,2020-06-12T00:00:00,,win,1.45,1.45,0,0,9842.75,9664.0,long
IS,2022-09-06T00:00:00,,loss,-1.0,-1.0,0,0,12299.5,12183.25,long
IS,2022-09-07T00:00:00,,loss,-1.0,-1.0,0,0,11934.875,12024.25,short
IS,2022-09-08T00:00:00,,win,1.3216,1.3216,0,0,12264.0,12311.5,short
IS,2022-09-09T00:00:00,,win,1.4434,1.4434,0,0,12534.25,12376.75,long
IS,2022-09-13T00:00:00,,win,1.3985,1.3985,0,0,12936.75,12850.5,long
IS,2022-09-14T00:00:00,,loss,-1.0,-1.0,0,0,12070.0,12186.25,short
IS,2022-09-15T00:00:00,,loss,-1.0,-1.0,0,0,12274.0,12210.25,long
IS,2022-09-16T00:00:00,,win,1.3194,1.3194,0,0,11854.875,11901.75,short
IS,2022-09-20T00:00:00,,loss,-1.0,-1.0,0,0,12137.125,12042.75,long
IS,2022-09-21T00:00:00,,win,1.4188,1.4188,0,0,11971.25,11862.5,long
IS,2022-09-22T00:00:00,,win,1.3338,1.3338,0,0,11651.75,11600.5,long
IS,2022-09-23T00:00:00,,win,1.4298,1.4298,0,0,11409.0,11535.25,short
IS,2022-09-27T00:00:00,,loss,-1.0,-1.0,0,0,11512.25,11423.5,long
IS,2022-09-28T00:00:00,,loss,-1.0,-1.0,0,0,11368.125,11168.75,long
IS,2022-09-29T00:00:00,,win,1.4516,1.4516,0,0,11292.5,11477.5,short
IS,2022-09-30T00:00:00,,loss,-1.0,-1.0,0,0,11367.0,11280.75,long
IS,2022-10-04T00:00:00,,win,1.3978,1.3978,0,0,11514.125,11428.5,long
IS,2022-10-05T00:00:00,,loss,-1.0,-1.0,0,0,11516.25,11585.0,short
IS,2022-10-06T00:00:00,,loss,-1.0,-1.0,0,0,11723.25,11617.0,long
IS,2022-10-07T00:00:00,,loss,-1.0,-1.0,0,0,11391.0,11524.75,short
IS,2022-10-11T00:00:00,,win,1.4201,1.4201,0,0,10964.125,10853.5,long
IS,2022-10-12T00:00:00,,loss,-1.0,-1.0,0,0,11008.25,10904.5,long
IS,2022-10-13T00:00:00,,win,1.3933,1.3933,0,0,10884.875,10803.0,long
IS,2022-10-14T00:00:00,,win,1.3802,1.3802,0,0,11083.25,11155.75,short
IS,2022-10-18T00:00:00,,loss,-1.0,-1.0,0,0,11379.875,11266.75,long
IS,2022-10-19T00:00:00,,loss,-1.0,-1.0,0,0,11170.0,11261.25,short
IS,2022-10-20T00:00:00,,loss,-1.0,-1.0,0,0,10954.75,11099.75,short
IS,2022-10-21T00:00:00,,loss,-1.0,-1.0,0,0,11091.125,11005.5,long
IS,2022-10-25T00:00:00,,loss,-1.0,-1.0,0,0,11424.5,11512.0,short
IS,2022-10-26T00:00:00,,win,1.3659,1.3659,0,0,11554.625,11490.25,long
IS,2022-10-27T00:00:00,,win,1.4006,1.4006,0,0,11389.375,11477.5,short
IS,2022-10-28T00:00:00,,loss,-1.0,-1.0,0,0,11031.75,11124.25,short
IS,2022-11-01T00:00:00,,loss,-1.0,-1.0,0,0,11644.75,11522.25,long
IS,2022-11-02T00:00:00,,loss,-1.0,-1.0,0,0,11404.125,11348.5,long
IS,2022-11-03T00:00:00,,win,1.4188,1.4188,0,0,10855.0,10963.75,short
IS,2022-11-04T00:00:00,,loss,-1.0,-1.0,0,0,10846.125,10749.25,long
IS,2022-11-08T00:00:00,,loss,-1.0,-1.0,0,0,10935.0,10985.0,short
IS,2022-11-09T00:00:00,,win,1.4092,1.4092,0,0,11057.625,11154.5,short
IS,2022-11-10T00:00:00,,loss,-1.0,-1.0,0,0,10922.75,10850.25,long
IS,2022-11-11T00:00:00,,loss,-1.0,-1.0,0,0,11822.375,11709.25,long
IS,2022-11-15T00:00:00,,loss,-1.0,-1.0,0,0,11800.75,11850.75,short
IS,2022-11-16T00:00:00,,win,1.3259,1.3259,0,0,11910.75,11959.5,short
IS,2022-11-17T00:00:00,,loss,-1.0,-1.0,0,0,11856.125,11799.25,long
IS,2022-11-18T00:00:00,,loss,-1.0,-1.0,0,0,11652.125,11717.75,short
IS,2022-11-22T00:00:00,,loss,-1.0,-1.0,0,0,11495.0,11588.75,short
IS,2022-11-23T00:00:00,,loss,-1.0,-1.0,0,0,11719.625,11766.5,short
IS,2022-11-24T00:00:00,,loss,-1.0,-1.0,0,0,11869.25,11889.25,short
IS,2022-11-25T00:00:00,,loss,-1.0,-1.0,0,0,11924.125,11891.0,long
IS,2022-11-29T00:00:00,,loss,-1.0,-1.0,0,0,11718.5,11667.25,long
IS,2022-11-30T00:00:00,,loss,-1.0,-1.0,0,0,11604.5,11537.0,long
IS,2022-12-01T00:00:00,,win,1.3023,1.3023,0,0,12014.5,12057.0,short
IS,2022-12-02T00:00:00,,win,1.3259,1.3259,0,0,12065.25,12016.5,long
IS,2022-12-06T00:00:00,,loss,-1.0,-1.0,0,0,11867.75,11791.5,long
IS,2022-12-07T00:00:00,,loss,-1.0,-1.0,0,0,11499.75,11572.25,short
IS,2022-12-08T00:00:00,,win,1.3357,1.3357,0,0,11563.625,11511.75,long
IS,2022-12-09T00:00:00,,loss,-1.0,-1.0,0,0,11655.875,11706.5,short
IS,2022-12-13T00:00:00,,loss,-1.0,-1.0,0,0,11785.5,11864.25,short
IS,2022-12-14T00:00:00,,loss,-1.0,-1.0,0,0,11927.125,11977.75,short
IS,2022-12-15T00:00:00,,win,1.341,1.341,0,0,11726.0,11779.75,short
IS,2022-12-16T00:00:00,,loss,-1.0,-1.0,0,0,11298.0,11436.75,short
IS,2022-12-20T00:00:00,,loss,-1.0,-1.0,0,0,11180.375,11076.0,long
IS,2022-12-21T00:00:00,,loss,-1.0,-1.0,0,0,11302.25,11197.25,long
IS,2022-12-22T00:00:00,,loss,-1.0,-1.0,0,0,11407.125,11347.75,long
IS,2022-12-23T00:00:00,,loss,-1.0,-1.0,0,0,10987.625,11068.25,short
IS,2022-12-27T00:00:00,,loss,-1.0,-1.0,0,0,11199.125,11156.0,long
IS,2022-12-28T00:00:00,,loss,-1.0,-1.0,0,0,10970.0,10941.25,long
IS,2022-12-29T00:00:00,,win,1.2783,1.2783,0,0,10846.25,10808.75,long
IS,2022-12-30T00:00:00,,loss,-1.0,-1.0,0,0,10911.25,10982.5,short
IS,2023-01-03T00:00:00,,win,1.4075,1.4075,0,0,11160.25,11065.25,long
IS,2023-01-04T00:00:00,,loss,-1.0,-1.0,0,0,11060.125,10994.5,long
IS,2023-01-05T00:00:00,,loss,-1.0,-1.0,0,0,10998.625,10948.0,long
IS,2023-01-06T00:00:00,,loss,-1.0,-1.0,0,0,10782.125,10834.0,short
IS,2023-01-10T00:00:00,,loss,-1.0,-1.0,0,0,11209.625,11155.25,long
IS,2023-01-11T00:00:00,,loss,-1.0,-1.0,0,0,11219.125,11269.75,short
IS,2023-01-12T00:00:00,,loss,-1.0,-1.0,0,0,11491.375,11452.0,long
IS,2023-01-13T00:00:00,,loss,-1.0,-1.0,0,0,11458.75,11527.5,short
IS,2023-01-17T00:00:00,,loss,-1.0,-1.0,0,0,11601.5,11547.75,long
IS,2023-01-18T00:00:00,,loss,-1.0,-1.0,0,0,11612.875,11662.25,short
IS,2023-01-19T00:00:00,,loss,-1.0,-1.0,0,0,11534.625,11444.0,long
IS,2023-01-20T00:00:00,,win,1.3299,1.3299,0,0,11376.75,11426.75,short
IS,2023-01-24T00:00:00,,win,1.3393,1.3393,0,0,11879.625,11932.75,short
IS,2023-01-25T00:00:00,,win,1.3523,1.3523,0,0,11799.875,11858.0,short
IS,2023-01-26T00:00:00,,loss,-1.0,-1.0,0,0,11969.125,11931.0,long
IS,2023-01-27T00:00:00,,loss,-1.0,-1.0,0,0,12006.375,12042.0,short
IS,2023-01-31T00:00:00,,win,1.3717,1.3717,0,0,11915.5,11983.0,short
IS,2023-02-01T00:00:00,,loss,-1.0,-1.0,0,0,12155.0,12118.75,long
IS,2023-02-02T00:00:00,,win,1.3238,1.3238,0,0,12565.875,12517.75,long
IS,2023-02-03T00:00:00,,loss,-1.0,-1.0,0,0,12544.875,12616.75,short
IS,2023-02-07T00:00:00,,win,1.4365,1.4365,0,0,12615.75,12475.75,long
IS,2023-02-08T00:00:00,,win,1.4376,1.4376,0,0,12647.0,12789.5,short
IS,2023-02-09T00:00:00,,win,1.4103,1.4103,0,0,12703.625,12605.5,long
IS,2023-02-10T00:00:00,,loss,-1.0,-1.0,0,0,12479.875,12400.5,long
IS,2023-02-14T00:00:00,,loss,-1.0,-1.0,0,0,12500.5,12559.25,short
IS,2023-02-15T00:00:00,,win,1.3508,1.3508,0,0,12590.25,12532.75,long
IS,2023-02-16T00:00:00,,win,1.415,1.415,0,0,12680.0,12783.75,short
IS,2023-02-17T00:00:00,,loss,-1.0,-1.0,0,0,12322.125,12405.25,short
IS,2023-02-21T00:00:00,,win,1.3357,1.3357,0,0,12282.375,12334.25,short
IS,2023-02-22T00:00:00,,win,1.3811,1.3811,0,0,12071.875,12145.0,short
IS,2023-02-23T00:00:00,,loss,-1.0,-1.0,0,0,12227.625,12174.5,long
IS,2023-02-24T00:00:00,,win,1.341,1.341,0,0,12109.0,12162.75,short
IS,2023-02-28T00:00:00,,win,1.2996,1.2996,0,0,12074.875,12033.0,long
IS,2023-03-01T00:00:00,,loss,-1.0,-1.0,0,0,12045.5,12116.75,short
IS,2023-03-02T00:00:00,,win,1.4057,1.4057,0,0,11924.625,11831.5,long
IS,2023-03-03T00:00:00,,win,1.3999,1.3999,0,0,12111.25,12023.75,long
IS,2023-03-07T00:00:00,,win,1.291,1.291,0,0,12372.75,12332.75,long
IS,2023-03-08T00:00:00,,loss,-1.0,-1.0,0,0,12234.125,12153.5,long
IS,2023-03-09T00:00:00,,win,1.3477,1.3477,0,0,12142.25,12198.5,short
IS,2023-03-10T00:00:00,,loss,-1.0,-1.0,0,0,11897.125,11990.25,short
IS,2023-03-14T00:00:00,,loss,-1.0,-1.0,0,0,12159.25,12076.75,long
IS,2023-03-15T00:00:00,,loss,-1.0,-1.0,0,0,12399.25,12326.75,long
IS,2023-03-16T00:00:00,,win,1.3992,1.3992,0,0,12370.125,12457.0,short
IS,2023-03-17T00:00:00,,win,1.3566,1.3566,0,0,12698.0,12758.0,short
IS,2023-03-21T00:00:00,,loss,-1.0,-1.0,0,0,12756.875,12710.0,long
IS,2023-03-22T00:00:00,,loss,-1.0,-1.0,0,0,12794.875,12835.5,short
IS,2023-03-23T00:00:00,,loss,-1.0,-1.0,0,0,12863.625,12808.0,long
IS,2023-03-24T00:00:00,,win,1.4469,1.4469,0,0,12741.125,12909.25,short
IS,2023-03-28T00:00:00,,win,1.3867,1.3867,0,0,12756.625,12833.5,short
IS,2023-03-29T00:00:00,,win,1.3607,1.3607,0,0,12879.625,12817.75,long
IS,2023-03-30T00:00:00,,win,1.3338,1.3338,0,0,13027.75,12976.5,long
IS,2023-03-31T00:00:00,,loss,-1.0,-1.0,0,0,13059.25,13100.5,short
IS,2023-04-04T00:00:00,,loss,-1.0,-1.0,0,0,13217.25,13264.75,short
IS,2023-04-05T00:00:00,,win,1.2677,1.2677,0,0,13194.375,13230.0,short
IS,2023-04-06T00:00:00,,loss,-1.0,-1.0,0,0,13090.75,13047.0,long
IS,2023-04-07T00:00:00,,loss,-1.0,-1.0,0,0,13147.875,13168.5,short
IS,2023-04-11T00:00:00,,win,1.3124,1.3124,0,0,13197.25,13152.25,long
IS,2023-04-12T00:00:00,,loss,-1.0,-1.0,0,0,13074.625,13051.5,long
IS,2023-04-13T00:00:00,,win,1.2184,1.2184,0,0,12978.0,13006.75,short
IS,2023-04-14T00:00:00,,loss,-1.0,-1.0,0,0,13242.125,13179.0,long
IS,2023-04-18T00:00:00,,win,1.2385,1.2385,0,0,13212.0,13180.75,long
IS,2023-04-19T00:00:00,,loss,-1.0,-1.0,0,0,13156.5,13119.0,long
IS,2023-04-20T00:00:00,,win,1.358,1.358,0,0,13072.125,13132.75,short
IS,2023-04-21T00:00:00,,loss,-1.0,-1.0,0,0,13037.0,13070.75,short
IS,2023-04-25T00:00:00,,win,1.3594,1.3594,0,0,12960.5,13021.75,short
IS,2023-04-26T00:00:00,,loss,-1.0,-1.0,0,0,12928.625,12978.0,short
IS,2023-04-27T00:00:00,,loss,-1.0,-1.0,0,0,13031.0,12983.5,long
IS,2023-04-28T00:00:00,,loss,-1.0,-1.0,0,0,13162.875,13211.0,short
IS,2023-05-02T00:00:00,,win,1.3023,1.3023,0,0,13292.0,13334.5,short
IS,2023-05-03T00:00:00,,loss,-1.0,-1.0,0,0,13165.125,13205.75,short
IS,2023-05-04T00:00:00,,loss,-1.0,-1.0,0,0,13054.5,13147.0,short
IS,2023-05-05T00:00:00,,win,1.4038,1.4038,0,0,13167.5,13076.25,long
IS,2023-05-09T00:00:00,,loss,-1.0,-1.0,0,0,13353.0,13315.5,long
IS,2023-05-10T00:00:00,,win,1.3075,1.3075,0,0,13242.75,13286.5,short
IS,2023-05-11T00:00:00,,loss,-1.0,-1.0,0,0,13487.5,13418.75,long
IS,2023-05-12T00:00:00,,loss,-1.0,-1.0,0,0,13524.875,13458.0,long
IS,2023-05-16T00:00:00,,win,1.3357,1.3357,0,0,13490.125,13438.25,long
IS,2023-05-17T00:00:00,,win,1.2338,1.2338,0,0,13474.875,13505.5,short
IS,2023-05-18T00:00:00,,loss,-1.0,-1.0,0,0,13693.625,13633.0,long
IS,2023-05-19T00:00:00,,loss,-1.0,-1.0,0,0,13932.625,13888.25,long
IS,2023-05-23T00:00:00,,win,1.26,1.26,0,0,13883.375,13917.75,short
IS,2023-05-24T00:00:00,,loss,-1.0,-1.0,0,0,13667.75,13725.25,short
IS,2023-05-25T00:00:00,,win,1.3124,1.3124,0,0,13828.0,13873.0,short
IS,2023-05-26T00:00:00,,loss,-1.0,-1.0,0,0,13934.875,13984.25,short
IS,2023-05-30T00:00:00,,win,1.341,1.341,0,0,14450.0,14396.25,long
IS,2023-05-31T00:00:00,,loss,-1.0,-1.0,0,0,14395.375,14332.25,long
IS,2023-06-01T00:00:00,,loss,-1.0,-1.0,0,0,14363.0,14280.5,long
IS,2023-06-02T00:00:00,,win,1.341,1.341,0,0,14551.25,14497.5,long
IS,2023-06-06T00:00:00,,loss,-1.0,-1.0,0,0,14628.625,14570.5,long
IS,2023-06-07T00:00:00,,loss,-1.0,-1.0,0,0,14537.125,14571.5,short
IS,2023-06-08T00:00:00,,win,1.2968,1.2968,0,0,14302.75,14261.5,long
IS,2023-06-09T00:00:00,,win,1.2848,1.2848,0,0,14461.75,14500.5,short
IS,2023-06-13T00:00:00,,loss,-1.0,-1.0,0,0,15103.625,15044.25,long
IS,2023-06-14T00:00:00,,loss,-1.0,-1.0,0,0,15162.125,15082.75,long
IS,2023-06-15T00:00:00,,loss,-1.0,-1.0,0,0,15215.375,15144.75,long
IS,2023-06-16T00:00:00,,win,1.358,1.358,0,0,15396.375,15335.75,long
IS,2023-06-20T00:00:00,,loss,-1.0,-1.0,0,0,15266.375,15208.25,long
IS,2023-06-21T00:00:00,,win,1.2996,1.2996,0,0,15256.875,15215.0,long
IS,2023-06-22T00:00:00,,loss,-1.0,-1.0,0,0,15025.5,14974.25,long
IS,2023-06-23T00:00:00,,loss,-1.0,-1.0,0,0,15207.25,15138.5,long
IS,2023-06-27T00:00:00,,loss,-1.0,-1.0,0,0,14867.125,14924.0,short
IS,2023-06-28T00:00:00,,loss,-1.0,-1.0,0,0,15103.0,15045.5,long
IS,2023-06-29T00:00:00,,loss,-1.0,-1.0,0,0,15105.75,15143.25,short
IS,2023-06-30T00:00:00,,win,1.3319,1.3319,0,0,15171.625,15121.0,long
IS,2023-07-04T00:00:00,,loss,-1.0,-1.0,0,0,15364.625,15346.5,long
IS,2023-07-05T00:00:00,,loss,-1.0,-1.0,0,0,15336.375,15287.0,long
IS,2023-07-06T00:00:00,,loss,-1.0,-1.0,0,0,15336.75,15265.5,long
IS,2023-07-07T00:00:00,,loss,-1.0,-1.0,0,0,15151.125,15209.25,short
IS,2023-07-11T00:00:00,,win,1.3171,1.3171,0,0,15186.75,15233.0,short
IS,2023-07-12T00:00:00,,win,1.26,1.26,0,0,15303.875,15269.5,long
IS,2023-07-13T00:00:00,,win,1.3338,1.3338,0,0,15549.25,15498.0,long
IS,2023-07-14T00:00:00,,loss,-1.0,-1.0,0,0,15743.625,15700.5,long
IS,2023-07-18T00:00:00,,loss,-1.0,-1.0,0,0,15849.25,15816.75,long
IS,2023-07-19T00:00:00,,loss,-1.0,-1.0,0,0,15947.0,15990.75,short
IS,2023-07-20T00:00:00,,loss,-1.0,-1.0,0,0,15828.25,15859.5,short
IS,2023-07-21T00:00:00,,win,1.2879,1.2879,0,0,15650.875,15611.5,long
IS,2023-07-25T00:00:00,,win,1.291,1.291,0,0,15619.25,15579.25,long
IS,2023-07-26T00:00:00,,loss,-1.0,-1.0,0,0,15636.625,15671.0,short
IS,2023-07-27T00:00:00,,win,1.3216,1.3216,0,0,15759.5,15712.0,long
IS,2023-07-28T00:00:00,,win,1.4389,1.4389,0,0,15775.625,15630.0,long
IS,2023-08-01T00:00:00,,win,1.3771,1.3771,0,0,15778.375,15849.0,short
IS,2023-08-02T00:00:00,,loss,-1.0,-1.0,0,0,15717.25,15661.0,long
IS,2023-08-03T00:00:00,,loss,-1.0,-1.0,0,0,15328.625,15410.5,short
IS,2023-08-04T00:00:00,,loss,-1.0,-1.0,0,0,15608.75,15486.25,long
IS,2023-08-08T00:00:00,,loss,-1.0,-1.0,0,0,15465.375,15403.5,long
IS,2023-08-09T00:00:00,,win,1.3992,1.3992,0,0,15345.875,15432.75,short
IS,2023-08-10T00:00:00,,win,1.3992,1.3992,0,0,15330.875,15244.0,long
IS,2023-08-11T00:00:00,,win,1.3671,1.3671,0,0,15175.25,15240.25,short
IS,2023-08-15T00:00:00,,win,1.3508,1.3508,0,0,15238.0,15295.5,short
IS,2023-08-16T00:00:00,,win,1.3299,1.3299,0,0,15161.25,15111.25,long
IS,2023-08-17T00:00:00,,loss,-1.0,-1.0,0,0,14923.625,14973.0,short
IS,2023-08-18T00:00:00,,win,1.3671,1.3671,0,0,14710.75,14775.75,short
IS,2023-08-22T00:00:00,,win,1.3867,1.3867,0,0,15073.625,14996.75,long
IS,2023-08-23T00:00:00,,win,1.341,1.341,0,0,15080.5,15026.75,long
IS,2023-08-24T00:00:00,,win,1.3948,1.3948,0,0,15334.625,15417.75,short
IS,2023-08-25T00:00:00,,win,1.421,1.421,0,0,14911.375,14799.5,long
IS,2023-08-29T00:00:00,,win,1.2639,1.2639,0,0,15145.25,15110.25,long
IS,2023-08-30T00:00:00,,win,1.358,1.358,0,0,15363.875,15424.5,short
IS,2023-08-31T00:00:00,,loss,-1.0,-1.0,0,0,15539.375,15483.75,long
IS,2023-09-01T00:00:00,,win,1.26,1.26,0,0,15545.875,15511.5,long
IS,2023-09-05T00:00:00,,win,1.3492,1.3492,0,0,15439.375,15496.25,short
IS,2023-09-06T00:00:00,,win,1.3299,1.3299,0,0,15441.5,15491.5,short
IS,2023-09-07T00:00:00,,loss,-1.0,-1.0,0,0,15290.5,15341.75,short
IS,2023-09-08T00:00:00,,win,1.3884,1.3884,0,0,15266.125,15344.25,short
IS,2023-09-12T00:00:00,,win,1.4057,1.4057,0,0,15585.375,15678.5,short
IS,2023-09-13T00:00:00,,loss,-1.0,-1.0,0,0,15534.625,15485.25,long
IS,2023-09-14T00:00:00,,loss,-1.0,-1.0,0,0,15573.0,15618.0,short
IS,2023-09-15T00:00:00,,win,1.291,1.291,0,0,15669.5,15709.5,short
IS,2023-09-19T00:00:00,,win,1.3607,1.3607,0,0,15442.375,15380.5,long
IS,2023-09-20T00:00:00,,win,1.26,1.26,0,0,15398.875,15364.5,long
